Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2020-05-04,401.1251220703125,422.2369833964066,398.0380363627447,422.2369833964066,37853978
2020-05-05,387.3825378417969,417.0088373296978,384.89293284281365,412.2785878316296,50981056
2020-05-06,387.2331848144531,392.80990633793806,366.5196520687501,383.39918686763923,67511628
2020-05-07,395.6978454589844,400.5774654358768,381.10876547463437,385.3908741421611,41339309
2020-05-08,380.46142578125,407.7475210255832,378.0714110478441,401.82224894069134,33505509
2020-05-11,377.9718017578125,391.8638091824344,375.28304671447853,389.3742042956337,30141935
2020-05-12,385.241455078125,390.1708543764792,368.46151255007277,374.73530452640864,38411107
2020-05-13,412.278564453125,414.7183893700513,397.93844655028363,409.29103862375456,48206058
2020-05-14,400.2786865234375,409.2910440724076,395.9965478765903,403.3657722756694,31604212
2020-05-15,386.9344482421875,402.2206310469152,385.1917245111431,401.075418673224,25435025
2020-05-18,357.3080749511719,387.3825136142595,350.8351023586457,387.3825136142595,47864748
2020-05-19,353.0260009765625,370.9511575846813,348.64430210604866,367.2665299034043,42889678
2020-05-20,360.99273681640625,364.776924384,348.54471140894395,351.53223750673493,30720803
2020-05-21,355.7147521972656,367.4656749023685,354.22098929115845,361.4906232779398,24794914
2020-05-22,335.5489501953125,358.2541340244673,331.46599220751534,350.63594934433536,48367892
2020-05-26,339.8808898925781,346.25430351984517,334.9514898288904,340.57799150515064,30692834
2020-05-27,385.390869140625,390.8182204101206,340.0800563605257,344.6609358186292,72430787
2020-05-28,389.3244323730469,405.95497512500253,385.3908444146081,388.3783703403028,72693713
2020-05-29,383.349365234375,387.6314734008338,373.78927657525423,380.41161936831986,51056390
2020-06-01,395.29949951171875,407.7973046279239,390.91777033869863,392.66049386274955,44252980
2020-06-02,408.3948059082031,413.2744255778527,389.9219187714564,396.3451117590009,37508638
2020-06-03,407.8470458984375,430.2037091432917,403.56493780166426,420.24528995015993,49055899
2020-06-04,392.71026611328125,412.1789634376394,389.9218905108011,405.90517151575534,45553578
2020-06-05,403.61474609375,408.1956253225166,388.8762968088687,397.3409537176405,39002875
2020-06-08,428.4610290527344,442.9007383409729,412.27859622970834,413.27443824958686,60387580
2020-06-09,418.3034362792969,440.660102208643,414.7682091975137,433.1415069713015,46273705
2020-06-10,425.67266845703125,430.9008388759784,413.57316403206215,420.4444980380841,36163051
2020-06-11,411.7308654785156,433.7389482125796,407.00061622641584,424.7265907411686,45562670
2020-06-12,406.30352783203125,410.78481674194336,387.53190043126233,388.3783721923828,47813512
2020-06-15,387.98004150390625,404.262063955789,382.05476956636073,404.262063955789,39577100
2020-06-16,379.9635009765625,403.31600791193534,358.9014488637431,403.21641763431376,96186227
2020-06-17,387.98004150390625,396.0961475631409,373.7394829548428,375.8805675244892,56949066
2020-06-18,403.7143249511719,406.35330006994576,382.4033130618022,384.3949969839991,43773580
2020-06-19,415.31591796875,420.5440887711871,405.8056384748777,405.8056384748777,52085319
