Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-09-21,2655.792236328125,2691.365580310537,2653.0932172257844,2679.5078709972368,2253818
2022-09-22,2661.279296875,2681.234068451284,2636.4134456963543,2645.881943221107,2017983
2022-09-23,2638.84716796875,2674.6417513414617,2636.1481479722793,2658.2709085292804,2652374
2022-09-26,2649.775634765625,2677.606239883684,2589.3364268366727,2619.202153055586,2925489
2022-09-27,2670.172607421875,2676.8537235602644,2633.493117790197,2663.049036122566,2227447
2022-09-28,2686.278076171875,2698.932337661489,2637.03290053693,2637.03290053693,2739767
2022-09-29,2652.341796875,2704.153340326122,2645.8819082049836,2702.516169785291,2493902
2022-09-30,2658.75732421875,2672.1636290441115,2610.574000882851,2646.6340961387687,2817353
2022-10-03,2641.413330078125,2673.0488777740657,2631.723604132221,2650.306723058508,1763331
2022-10-04,2735.390625,2741.45234749849,2675.0840692343236,2681.234153144955,2145875
2022-10-06,2744.947509765625,2764.459825429553,2736.54086176896,2752.955991328854,1790816
2022-10-07,2712.16162109375,2747.6466122290967,2706.1444036015023,2740.92120721209,1939879
2022-10-10,2759.636474609375,2767.113921851672,2659.1548881241683,2663.579438686771,3064063
2022-10-11,2716.276611328125,2783.0430541076635,2701.9411068493428,2743.2220883096206,4730645
2022-10-12,2743.885498046875,2751.9823405364536,2709.6395140766645,2729.8595839610534,1665247
2022-10-13,2746.142333984375,2752.0711901243612,2701.0561948337768,2743.8857693820296,2054781
2022-10-14,2742.469482421875,2787.467254518983,2717.5593455961257,2783.0427033213336,2245977
2022-10-17,2760.746337890625,2775.5181405488543,2724.992112063017,2726.0567094128687,1517005
2022-10-18,2789.979248046875,2799.4280629231534,2775.6510472338673,2794.6814538133085,1793722
2022-10-19,2769.707275390625,2802.666690988057,2760.9682628536984,2802.666690988057,1194289
2022-10-20,2801.157958984375,2803.5533568233523,2754.7573332077563,2754.7573332077563,1587601
2022-10-21,2783.502197265625,2803.9078046251725,2774.275400578486,2801.6012137542084,1021913
2022-10-24,2805.061767578125,2819.523178997157,2799.1175675695504,2812.5143817126964,260949
2022-10-25,2805.41650390625,2825.067906352721,2795.701486132634,2821.7409048142667,2069643
2022-10-27,2801.2470703125,2815.974686821246,2780.797269891525,2804.1748755945646,2438421
2022-10-28,2806.437255859375,2819.967064806456,2790.245845152212,2794.681848085681,1355739
2022-10-31,2832.964111328125,2838.154320749786,2819.345713992005,2838.154320749786,1919414
2022-11-01,2892.007568359375,2894.580579896571,2842.1025377869346,2851.90614711306,2991060
2022-11-02,2876.03759765625,2901.1454132070917,2858.6041958047094,2901.1454132070917,1405955
2022-11-03,2845.030029296875,2863.927442110941,2834.6054240597227,2863.927442110941,1422652
2022-11-04,2854.47900390625,2856.8302153585205,2809.009975066028,2854.1242103218356,1464013
2022-11-07,2868.93994140625,2877.013551831129,2834.6941353155285,2864.7701427720986,1474498
2022-11-09,2853.281005859375,2883.224020577956,2840.5051896184455,2883.224020577956,1162267
2022-11-10,2844.05419921875,2861.2216155527403,2812.425588000678,2812.425588000678,1573092
2022-11-11,2941.912353515625,2964.6691755192865,2887.881931563793,2900.790741715342,3265394
2022-11-14,2959.256591796875,2971.2337958110434,2935.7457839172116,2949.0537883773986,1342074
2022-11-15,2956.684326171875,2963.2051195621743,2920.663901019243,2946.3927142420735,1400708
2022-11-16,2976.8681640625,2988.002356606377,2946.7919383664444,2962.273543145715,1748235
2022-11-17,2971.234375,2980.993580173186,2943.509360303449,2963.249570767393,1417986
2022-11-18,2966.310546875,2983.4335602983065,2946.3929384434396,2972.1217536240656,1164540
2022-11-21,2913.122802734375,2957.660223917546,2903.8071976091396,2947.723621770964,1304194
2022-11-22,2941.02490234375,2944.573703919236,2888.0590821499577,2910.0172918982757,1149739
2022-11-23,2935.125244140625,2954.377450271006,2919.7766332858505,2954.377450271006,1150011
2022-11-24,2998.87060546875,3010.2268148938447,2935.125381162029,2942.178581633321,1296591
2022-11-25,3007.299072265625,3019.4538923326327,2970.3472582768977,3001.3992756125285,1588981
2022-11-28,3012.267822265625,3031.5644352202753,2985.9180078961676,2986.3172048438537,2195437
2022-11-29,3014.13037109375,3042.210177164446,3001.398958689799,3001.398958689799,1576028
2022-11-30,3008.3193359375,3029.7007368695226,2994.3015254756792,3001.3991290916215,3410702
2022-12-01,3083.5986328125,3087.4580420056895,3034.226006798695,3038.662009732611,2180856
2022-12-02,3051.215576171875,3077.6097915939044,3028.015369256716,3068.0281992766704,2411749
2022-12-05,3039.46044921875,3051.215857169985,3022.6924445176714,3045.7596601200953,1475065
2022-12-06,3003.484375,3023.534976844241,2988.0913592964403,3016.5261793583018,1166999
2022-12-07,2999.27001953125,3010.892215820277,2975.6704001996686,2988.3574103425613,1167505
2022-12-08,2972.609619140625,2999.270036952731,2962.7616071469197,2980.993620377601,1285619
2022-12-09,2921.329833984375,2993.503690876257,2906.779830494518,2993.503690876257,1797896
2022-12-12,2915.739990234375,2924.212798185376,2871.0695757813564,2888.281178547479,1527610
2022-12-13,2956.240966796875,2960.1001591337144,2899.1939295105562,2907.5335278353573,1378016
